,D,P,C,O,F,G
880,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriales Incertae Sedis,Tomitella
881,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Chroococcidiopsaceae,Dapisostemonum CCIBt 3536
882,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobaculum
883,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,XY-R5
884,Bacteria,Acidobacteriota,Blastocatellia,Elev-16S-573,,
885,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Candidatus Riegeria
886,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pontibaca
887,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,SH-PL14
888,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia
889,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Candidatus Cryptoplasma
890,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,
891,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Johnsonella
892,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Daeguia
893,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Vallitalea
894,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Frigoribacterium
895,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,,
896,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Candidatus Benitsuchiphilus
897,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,uncultured
898,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK3A20 group
899,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Psychrosphaera
900,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,
901,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Porticoccaceae,SAR92 clade
902,Bacteria,Verrucomicrobiota,Verrucomicrobiae,UA11,,
903,Bacteria,Thermotogota,Thermotogae,Kosmotogales,Kosmotogaceae,uncultured
904,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Occallatibacter
905,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Pelagirhabdus
906,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum
907,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rs-E47 termite group,GWE2-42-42
908,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Diplorickettsia
909,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiales Incertae Sedis,Aciditerrimonas
910,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Chelonobacter
911,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,,
912,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Pseudovibrio
913,Bacteria,Cloacimonadota,Cloacimonadia,Cloacimonadales,W27,
914,Bacteria,Actinobacteriota,RBG-16-55-12,,,
915,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Thorselliaceae,Thorsellia
916,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,GoM-GC232-4463-Bac1,
917,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosarcinaceae,ANME-3
918,Archaea,Halobacterota,Halobacteria,Halobacterales,Halomicrobiaceae,Halorhabdus
919,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,
920,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,
921,Bacteria,Firmicutes,Bacilli,Thermoactinomycetales,Thermoactinomycetaceae,Desmospora
922,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Halovulum
923,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Thermoflavifilum
924,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Cellulosilyticum
925,Bacteria,Marinimicrobia (SAR406 clade),,,,
926,Bacteria,Fibrobacterota,Chitinivibrionia,Chitinivibrionia Incertae Sedis,Unknown Family,possible genus 02
927,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,
928,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Alpinimonas
929,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Planosporangium
930,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Poseidonocella
931,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ochrobactrum
932,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,DTU089
933,Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,Oligoflexaceae,Pseudobacteriovorax
934,Bacteria,Chloroflexi,SHA-26,,,
935,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,Armatimonas
936,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Dermacoccaceae,Dermacoccus
937,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Spongiibacteraceae,Oceanicoccus
938,Bacteria,Proteobacteria,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,Thiomargarita
939,Bacteria,Firmicutes,Thermacetogenia,Thermacetogeniales,Thermacetogeniaceae,
940,Bacteria,Firmicutes,Bacilli,Thermoactinomycetales,Thermoactinomycetaceae,Kroppenstedtia
941,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Cohnella
942,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shimwellia
943,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,WWH38,
944,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,[Aquaspirillum] arcticum group
945,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,
946,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella
947,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,,
948,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfomicrobiaceae,Desulfomicrobium
949,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Herbihabitans
950,Bacteria,Patescibacteria,Parcubacteria,Paceibacterales,Paceibacteraceae,Candidatus Paceibacter
951,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Saccharococcus
952,Archaea,Aenigmarchaeota,Aenigmarchaeia,Aenigmarchaeales,Candidatus Aenigmarchaeum,
953,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Diaphorobacter
954,Archaea,Halobacterota,Halobacteria,Halobacterales,Haloferacaceae,Salinigranum
955,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella
956,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Marinospirillum
957,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Spongiibacterium
958,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Vibrionimonas
959,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Allohumibacter
960,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Confluentimicrobium
961,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter
962,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lentibacillus
963,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,GWD2-49-16
964,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Oceanospirillaceae,Oceanospirillum
965,Bacteria,Patescibacteria,Microgenomatia,Candidatus Levybacteria,,
966,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,uncultured
967,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanotorris
968,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Pontibacter
969,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Jonesiaceae,Jonesia
970,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,[Cytophaga] xylanolytica group
971,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Orrella
972,Bacteria,Patescibacteria,Parcubacteria,Candidatus Jorgensenbacteria,,
973,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Humibacillus
974,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Peptoclostridium
975,Bacteria,Patescibacteria,Parcubacteria,32-520,,
976,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Biostraticola
977,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Rugosimonospora
978,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Turicibacter
979,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrococcales,Halorhodospiraceae,Halorhodospira
980,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,Planctomicrobium
981,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Pseudopropionibacterium
982,Bacteria,Bacteroidota,Bacteroidia,ML602M-17,,
983,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,
984,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavihumibacter
985,Bacteria,Proteobacteria,Gammaproteobacteria,Tenderiales,Tenderiaceae,Candidatus Tenderia
986,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Bartonella
987,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,p-251-o5,
988,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Haemophilus
989,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,
990,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Turicella
991,Bacteria,Proteobacteria,Gammaproteobacteria,Granulosicoccales,Granulosicoccaceae,Granulosicoccus
992,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Candidatus Xenolissoclinum
993,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,
994,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Ferrovaceae,Ferrovum
995,Bacteria,Cyanobacteria,Cyanobacteriia,Phormidesmiales,Phormidesmiaceae,Acrophormium PCC-7375
996,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,pItb-vmat-59
997,Bacteria,Firmicutes,Clostridia,Peptococcales,Peptococcaceae,Dehalobacterium
998,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Chryseomicrobium
999,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,Limibacillus
1000,Bacteria,Elusimicrobiota,,,,
1001,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,Roseimarinus
1002,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhizobacter
1003,Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,Oligoflexaceae,uncultured
1004,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanofollis
1005,Bacteria,Desulfobacterota,Desulfuromonadia,Desulfuromonadales,Desulfuromonadaceae,Trichloromonas
1006,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermogymnomonas,
1007,Bacteria,Patescibacteria,ABY1,Candidatus Kerfeldbacteria,,
1008,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,vadinBE97,
1009,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Psychrilyobacter
1010,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Hespellia
1011,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga
1012,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Domibacillus
1013,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae,Microcoleus PCC-7113
1014,Bacteria,Proteobacteria,Gammaproteobacteria,EC3,,
1015,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,Pseudoteredinibacter
1016,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Fokiniaceae,Candidatus Lariskella
1017,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Dokdonia
1018,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Succinivibrionaceae,uncultured
1019,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia
1020,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,,
1021,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,uncultured
1022,Bacteria,Firmicutes,Bacilli,Mycoplasmatales,Mycoplasmataceae,Ureaplasma
1023,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomicrobium
1024,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Williamwhitmaniaceae,Williamwhitmania
1025,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Coriobacteriales Incertae Sedis,uncultured
1026,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Subdoligranulum
1027,Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Thermosynechococcaceae,Synechococcus PCC-6312
1028,Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,,
1029,Bacteria,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thiomicrospiraceae,Galenea
1030,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,Anaerospora
1031,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Bilophila
1032,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Kangiellaceae,Kangiella
1033,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Tatumella
1034,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Extensimonas
1035,Bacteria,Patescibacteria,Microgenomatia,Candidatus Roizmanbacteria,,
1036,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Thermogutta
1037,Archaea,Micrarchaeota,Micrarchaeia,Micrarchaeales,,
1038,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Rubidibacteraceae,Rubidibacter KORDI 51-2
1039,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Ornithinibacillus
1040,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Promicromonosporaceae,Cellulosimicrobium
1041,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Nordella
1042,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Harryflintia
1043,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Sporosalibacterium,
1044,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,DMI
1045,Bacteria,Firmicutes,Moorellia,NRB23,,
1046,Bacteria,Proteobacteria,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,Beggiatoa
1047,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,Anaeromusa-Anaeroarcus
1048,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,Candidatus Amoebophilus
1049,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,Roseiflexus
1050,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
1051,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Gluconobacter
1052,Archaea,Halobacterota,Halobacteria,Halobacterales,Halobacteriaceae,Salarchaeum
1053,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Denitratisoma
1054,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinoalloteichus
1055,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrococcales,Nitrococcaceae,
1056,Bacteria,Firmicutes,Clostridia,Clostridiales,Oxobacteraceae,Oxobacter
1057,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Shivajiella
1058,Bacteria,Planctomycetota,Phycisphaerae,S-70,,
1059,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Terasakiellaceae,Aestuariispira
1060,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,uncultured,
1061,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Youngimonas
1062,Bacteria,Verrucomicrobiota,Verrucomicrobiae,LD1-PB3,,
1063,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus
1064,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis
1065,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Pseudarcobacter
1066,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquibacter
1067,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halospina
1068,Bacteria,Cloacimonadota,Cloacimonadia,Cloacimonadales,Cloacimonadaceae,
1069,Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,TX1A-55
1070,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcystaceae,Aphanotece
1071,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Morganella
1072,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Pibocella
1073,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Crenothrix
1074,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Labedella
1075,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,P6-b51,
1076,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Dolosigranulum
1077,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter clade CHAB-I-5 lineage
1078,Bacteria,Cyanobacteria,Cyanobacteriia,Eurycoccales,Eurycoccales Incertae Sedis,Candidatus Gloeomargarita
1079,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-005
1080,Archaea,Halobacterota,Halobacteria,Halobacterales,Haloadaptaceae,Haladaptatus
1081,Archaea,Halobacterota,Halobacteria,Halobacterales,Haloferacaceae,Halorubellus
1082,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,cvE6,
1083,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Nitrincolaceae,Pontibacterium
1084,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,GOUTA6
1085,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,
1086,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] hallii group
1087,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Candidatus Symbiothrix
1088,Bacteria,Firmicutes,Desulfitobacteriia,Desulfitobacteriales,Heliobacteriaceae,Heliobacillus
1089,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Bryocella
1090,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,MBAE14,
1091,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,Carboxylicivirga
1092,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Urania-1B-19 marine sediment group
1093,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Fluviimonas
1094,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,uncultured
1095,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Boseongicola
1096,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aureimonas
1097,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Derxia
1098,Bacteria,Firmicutes,TTA-B61,,,
1099,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,Thioalbus
1100,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Luethyella
1101,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,Methylophaga
1102,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,Vicingus
1103,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera
1104,Bacteria,Halanaerobiaeota,Halanaerobiia,Halanaerobiales,Halobacteroidaceae,Halanaerobaculum
1105,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Fibrella
1106,Bacteria,Firmicutes,Clostridia,Oscillospirales,Hungateiclostridiaceae,Fastidiosipila
1107,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,SWB02
1108,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Marinifilum
1109,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Parascardovia
1110,Bacteria,Desulfobacterota,Dissulfuribacteria,Dissulfuribacterales,Dissulfuribacteraceae,
1111,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Maribacter
1112,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Thermogladius
1113,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Planotetraspora
1114,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Changchengzhania
1115,Bacteria,Acetothermia,Acetothermiia,,,
1116,Bacteria,Proteobacteria,Gammaproteobacteria,R7C24,,
1117,Bacteria,Bdellovibrionota,Oligoflexia,uncultured,,
1118,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methyloglobulus
1119,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Hydrogenophilaceae,Thiobacter
1120,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria Incertae Sedis,Unknown Family,Neomegalonema
1121,Bacteria,Proteobacteria,Gammaproteobacteria,FGL7S,,
1122,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,Rhodoligotrophos
1123,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Termite planctomycete cluster
1124,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII UCG-001
1125,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Thermoactinospora
1126,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Faecalicoccus
1127,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,
1128,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Spongiiferula
1129,Archaea,Thermoplasmatota,Thermoplasmata,,,
1130,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,uncultured,
1131,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,
1132,Bacteria,Fibrobacterota,Chitinivibrionia,Chitinivibrionales,Chitinivibrionaceae,possible genus 03
1133,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
1134,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ethanoligenenaceae,Acetanaerobacterium
1135,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Fodinicurvataceae,uncultured
1136,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Rickettsiella
1137,Bacteria,TX1A-33,,,,
1138,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubrimonas
1139,Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptospiraceae,RBG-16-49-21
1140,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,Sporichthya
1141,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Bogoriellaceae,Bogoriella
1142,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,uncultured
1143,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1
1144,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 15
1145,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chitinibacteraceae,Amantichitinum
1146,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,
1147,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,
1148,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Corallibacter
1149,Bacteria,Bacteroidota,Chlorobia,Chlorobiales,Chloroherpetonaceae,GBChlB
1150,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter
1151,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Opitutus
1152,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Pelistega
1153,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Picrophilaceae,Picrophilus
1154,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,
1155,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Fontibacillus
1156,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halotalea
1157,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Alkalibacillus
1158,Bacteria,Firmicutes,Bacilli,Bacillales,Marinococcaceae,Marinococcus
1159,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,OM182 clade,
