,D,P,C,O,F,G
2363,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,
2364,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,Aestuariicella
2365,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,uncultured
2366,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium
2367,Bacteria,Thermotogota,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermopallium
2368,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,uncultured
2369,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Jahnella
2370,Bacteria,Firmicutes,YNPFFP2,,,
2371,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Afipia
2372,Bacteria,Firmicutes,Clostridia,,,
2373,Bacteria,Patescibacteria,Parcubacteria,UBA9983,,
2374,Bacteria,Firmicutes,Clostridia,Proteinivoracales,uncultured,
2375,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tropicimonas
2376,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Rudaibacter
2377,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Psychroglaciecola
2378,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lactonifactor
2379,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Desertifilaceae,Roseofilum AO1-A
2380,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Lawsonia
2381,Bacteria,Desulfobacterota,Dissulfuribacteria,Dissulfuribacterales,Dissulfuribacteraceae,uncultured
2382,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Candidatus Baumannia
2383,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Thauera
2384,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Williamwhitmaniaceae,Rs-D38 termite group
2385,Bacteria,Firmicutes,Thermovenabulia,Thermovenabulales,,
2386,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Thalassobaculaceae,Thalassobaculum
2387,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Beijerinckia
2388,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Thermocrispum
2389,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,vadinHA21,
2390,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Chroococcidiopsaceae,Chroococcidiopsis CC1
2391,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Borrelia
2392,Archaea,Halobacterota,Halobacteria,Halobacterales,Halobacteriaceae,Halarchaeum
2393,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,Cryomorpha
2394,Bacteria,Firmicutes,Bacilli,Thermicanales,Thermicanaceae,Hydrogenibacillus
